"","n","parameter","estimation"
"1","100","mu",0.121443887316816
"2","100","mu",0.0548167217572514
"3","100","mu",0.0999775885952945
"4","100","mu",-0.0730574580863436
"5","100","mu",-0.0820260706843535
"6","100","mu",0.141108264076461
"7","100","mu",-0.00380397739047938
"8","100","mu",0.0236425981021347
"9","100","mu",-0.140745060154078
"10","100","mu",-0.0377336326088287
"11","100","mu",0.0816410048314685
"12","100","mu",0.00885672755625059
"13","100","mu",0.0704211712803124
"14","100","mu",0.0313676223058935
"15","100","mu",0.0826061515104666
"16","100","mu",-0.00898025755482551
"17","100","mu",-0.0529392042234558
"18","100","mu",-0.0289322519010852
"19","100","mu",0.00546601917538736
"20","100","mu",-0.0305064570640423
"21","100","mu",-0.0496606077450278
"22","100","mu",0.106557615971728
"23","100","mu",-0.00043035674928264
"24","100","mu",0.0987482353844641
"25","100","mu",0.120466355199341
"26","100","mu",-0.104338457529587
"27","100","mu",0.0472969032332673
"28","100","mu",0.068920218767365
"29","100","mu",-0.075021074305641
"30","100","mu",0.12703325194748
"31","100","mu",0.0239175986235612
"32","100","mu",-0.233028708626775
"33","100","mu",0.0814165343615026
"34","100","mu",0.169232585806736
"35","100","mu",0.109128057702791
"36","100","mu",-0.0282854515193966
"37","100","mu",0.0054077557331795
"38","100","mu",-0.0361869328044076
"39","100","mu",0.0445254147223128
"40","100","mu",0.00255447029728962
"41","100","mu",0.0123188186215001
"42","100","mu",0.103214835976739
"43","100","mu",0.0724796137273537
"44","100","mu",0.0383575910210686
"45","100","mu",0.115450722175992
"46","100","mu",-0.0554250033136063
"47","100","mu",0.00273475053185866
"48","100","mu",0.124050703382938
"49","100","mu",-0.0655239432714476
"50","100","mu",0.139760413218993
"51","100","mu",-0.190659890402401
"52","100","mu",0.0963595960711477
"53","100","mu",-0.0597458642962113
"54","100","mu",-0.0715087491664902
"55","100","mu",0.0271961711761349
"56","100","mu",-0.207370517747173
"57","100","mu",-0.163276869009459
"58","100","mu",0.0567036550990732
"59","100","mu",0.0159076494125445
"60","100","mu",-0.081015005321468
"61","100","mu",0.0897877840266516
"62","100","mu",-0.107218733434632
"63","100","mu",-0.0854277252774451
"64","100","mu",-0.0701502888044329
"65","100","mu",0.20119424931291
"66","100","mu",0.0675168029684246
"67","100","mu",-0.0542054667423804
"68","100","mu",-0.00085943640160443
"69","100","mu",-0.107913918417531
"70","100","mu",0.0719265558865576
"71","100","mu",0.0514964382915806
"72","100","mu",-0.0324730812924375
"73","100","mu",0.0790078420163764
"74","100","mu",0.0977705164610262
"75","100","mu",0.101362150920427
"76","100","mu",-0.0774351797127628
"77","100","mu",-0.0214273987627712
"78","100","mu",0.113644831122978
"79","100","mu",0.133635466437172
"80","100","mu",0.171984262961723
"81","100","mu",0.0366481368614809
"82","100","mu",0.140636102653727
"83","100","mu",0.125259910737947
"84","100","mu",-0.116595334509218
"85","100","mu",0.110145234371488
"86","100","mu",0.000719216667466095
"87","100","mu",0.020811133450021
"88","100","mu",0.0432554830620831
"89","100","mu",0.0271106864635815
"90","100","mu",0.133870129478589
"91","100","mu",0.0588677237269331
"92","100","mu",0.0241754669430837
"93","100","mu",0.139664755668517
"94","100","mu",-0.0737223335499816
"95","100","mu",0.0140143621721506
"96","100","mu",-0.179106770061742
"97","100","mu",0.0155222066058316
"98","100","mu",0.170876382937058
"99","100","mu",-0.0420375189681253
"100","100","mu",0.000182917608236291
"101","100","omega",0.0378661012266713
"102","100","omega",1e-12
"103","100","omega",0.0937090373243953
"104","100","omega",1e-12
"105","100","omega",0.136933523450368
"106","100","omega",0.0771096901130748
"107","100","omega",1e-12
"108","100","omega",0.397241773547533
"109","100","omega",1e-12
"110","100","omega",0.104322272950937
"111","100","omega",0.100454577521613
"112","100","omega",1e-12
"113","100","omega",0.27069708306644
"114","100","omega",0.0009823104740842
"115","100","omega",1e-12
"116","100","omega",1e-12
"117","100","omega",1e-12
"118","100","omega",1e-12
"119","100","omega",0.187235431907241
"120","100","omega",1e-12
"121","100","omega",1e-12
"122","100","omega",0.264050516744014
"123","100","omega",1e-12
"124","100","omega",0.015610283051525
"125","100","omega",1e-12
"126","100","omega",1e-12
"127","100","omega",1e-12
"128","100","omega",0.18182785047406
"129","100","omega",0.114041385949211
"130","100","omega",0.0780172951619011
"131","100","omega",0.0427688256080549
"132","100","omega",1e-12
"133","100","omega",0.0571599119491499
"134","100","omega",0.0800936904091014
"135","100","omega",0.0810951932734884
"136","100","omega",0.272851951009886
"137","100","omega",0.101281694472887
"138","100","omega",1e-12
"139","100","omega",0.0300252953908887
"140","100","omega",1e-12
"141","100","omega",0.236523152920013
"142","100","omega",1e-12
"143","100","omega",1e-12
"144","100","omega",1e-12
"145","100","omega",1e-12
"146","100","omega",0.326162030783518
"147","100","omega",0.000587046195367875
"148","100","omega",1e-12
"149","100","omega",1e-12
"150","100","omega",1e-12
"151","100","omega",0.0792579835277408
"152","100","omega",0.00543712992992877
"153","100","omega",1e-12
"154","100","omega",0.466858798718415
"155","100","omega",1e-12
"156","100","omega",1e-12
"157","100","omega",0.146268024385611
"158","100","omega",1e-12
"159","100","omega",1e-12
"160","100","omega",0.0790412811782637
"161","100","omega",0.0270991457460772
"162","100","omega",1e-12
"163","100","omega",0.206040005088487
"164","100","omega",0.150592243765255
"165","100","omega",1e-12
"166","100","omega",1e-12
"167","100","omega",1e-12
"168","100","omega",1e-12
