"","n","parameter","estimation"
"195","100","omega",0.0141515630392821
"196","100","omega",0.0977615361885987
"197","100","omega",1e-12
"198","100","omega",1e-12
"199","100","omega",1e-12
"200","100","omega",1e-12
"201","100","alpha",0.0609292447490267
"202","100","alpha",0.0851936165421879
"203","100","alpha",0.245530868712565
"204","100","alpha",1e-06
"205","100","alpha",0.0311030236349655
"206","100","alpha",0.0800798014686935
"207","100","alpha",1e-06
"208","100","alpha",1e-06
"209","100","alpha",1e-06
"210","100","alpha",0.0854858148451184
"211","100","alpha",0.00998953433889122
"212","100","alpha",0.0165812146997181
"213","100","alpha",0.122380154429001
"214","100","alpha",1e-06
"215","100","alpha",1e-06
"216","100","alpha",1e-06
"217","100","alpha",1e-06
"218","100","alpha",1e-06
"219","100","alpha",0.0545377488879411
"220","100","alpha",1e-06
"221","100","alpha",0.019675708845831
"222","100","alpha",0.13025316024455
"223","100","alpha",0.102438957544773
"224","100","alpha",1e-06
"225","100","alpha",0.0407461922666833
"226","100","alpha",0.00277538381608729
"227","100","alpha",0.0684529978467618
"228","100","alpha",0.186142862897365
"229","100","alpha",0.0157933461500929
"230","100","alpha",1e-06
"231","100","alpha",0.182051967701438
"232","100","alpha",0.0129259428730263
"233","100","alpha",0.0076768567237173
"234","100","alpha",0.0525153022539049
"235","100","alpha",0.00662683440335199
"236","100","alpha",0.0293594607764525
"237","100","alpha",0.0796237736794253
"238","100","alpha",0.0100183465850887
"239","100","alpha",0.190510048463054
"240","100","alpha",1e-06
"241","100","alpha",0.187317263937094
"242","100","alpha",0.382581832325479
"243","100","alpha",0.0151010660074294
"244","100","alpha",0.10501278471905
"245","100","alpha",0.221959017405356
"246","100","alpha",0.121463876249934
"247","100","alpha",1e-06
"248","100","alpha",0.136484005596851
"249","100","alpha",1e-06
"250","100","alpha",0.00910343405003426
"251","100","alpha",0.0110590279989742
"252","100","alpha",0.0531351042427493
"253","100","alpha",0.0131419375609813
"254","100","alpha",0.145183607912185
"255","100","alpha",0.0825195221963348
"256","100","alpha",0.0189888150430146
"257","100","alpha",0.0599729281796283
"258","100","alpha",0.048099856662862
"259","100","alpha",0.153132083585635
"260","100","alpha",0.0244906896153167
"261","100","alpha",1e-06
"262","100","alpha",0.411151900105257
"263","100","alpha",1e-06
"264","100","alpha",0.0045915375696793
"265","100","alpha",0.0597268449657492
"266","100","alpha",0.0606649714927005
"267","100","alpha",0.0218495261836006
"268","100","alpha",1e-06
"269","100","alpha",0.00602275976756688
"270","100","alpha",1e-06
"271","100","alpha",0.000919306532202376
"272","100","alpha",0.0189457478441653
"273","100","alpha",0.104910703198057
"274","100","alpha",0.023249403664511
"275","100","alpha",0.0117901232478276
