name_norm,design1.eq1.100,design1.eq1.1k,design2.eq1.100,design2.eq1.1k
mu,0.0017,-0.001,0.0028,0.0009
mu.sd,0.0433,0.0149,0.0789,0.0212
omega,0.0242,0.01432,0.084,0.0304
omega.sd,0.0332,0.0215,0.1102,0.0435
alpha,0.0529,0.05116,0.0778,0.0572
alpha.sd,0.0769,0.021,0.108,0.022
beta,0.7727,0.8727,0.6012,0.5685
beta.sd,0.2301,0.1199,0.326,0.099
theta,-0.05,-0.007,0.9707,1.903
theta.sd,0.745,0.148,0.864,0.489
